Type	Age	Gender	Race	Tumor stage	Radiation	Smoking
ACC	0.234324023	0.025318756	0.001012625	0.308245023	1.24354948	0
BLCA	0.369459945	0.053851424	2.000755106	0.770528604	0.003399902	0.948268334
BRCA	0.473391605	0.551210257	6.028316006	2.216108534	0.026465185	0
CESC	0.734671937	0	0.127683011	0.898815578	0.942811025	0.342687753
CHOL	0.013780384	0.069436012	0.691679971	1.873132229	0	0
COAD	0.200920326	0.07067361	0.894053844	0.308107898	0.267271296	0
DLBC	0.142766893	0.407342666	1.012141954	0.202571876	0.149324541	0
ESCA	2.188114396	2.154342231	0.479077384	0.427483292	0.398195951	1.155430728
GBM	0.375335707	0.637962215	0.798855638	0	0.616427633	0
HNSC	0.750697189	1.637252314	1.628241894	0.497619726	0.93342217	4.137068047
KICH	0.111242214	0.569922083	0.415390703	4.644853156	0	0.947910532
KIRC	1.256770883	0.744238896	0.93843084	3.527217995	0.084689524	2.895872109
KIRP	2.026766483	1.297012812	1.449958764	0.797491756	0.333050523	0.999899472
LAML	0.753469956	0.298169745	0.109088361	0	0	0
LGG	0.456730172	0.898896529	0.654519237	0	5.845233069	0
LIHC	2.855403494	0.571994285	0.511290297	0.480057265	0.226064888	0
LUAD	1.238586895	0.28400499	0.287915401	0.150060974	0.485426133	1.376283988
LUSC	0.955871822	0.32616425	0.090261915	1.732321762	0.565502977	0.855998482
MESO	0.328846439	0.286669221	0.477624593	0.038415302	0.157673764	0
OV	0.272297478	0	0.592063182	0.400354604	0.397508537	0
PAAD	0.010701216	0.132269884	0.110305231	0.055291611	0.56344125	0.022358673
PCPG	0.16773855	0.522907143	0.099327594	0	0.517567815	0
PRAD	0.624630198	0	0.62745322	0	2.039018238	0
READ	0.138811782	0.888528286	0.146025011	0.176411104	0.496928036	0
SARC	0.398453228	0.820554758	0.313864507	0	1.655349274	0
SKCM	2.618276668	0.210606739	0.714434184	23.04054092	0.501288283	0
STAD	1.18733996	1.383792103	1.245154636	0.09198441	1.568856851	0
TGCT	1.012115241	0	0.834013468	2.363047382	0.019937735	0
THCA	2.857416436	0.38571277	1.227222727	0.033665615	0.078529925	0
THYM	0.285999175	0.159069541	0.146159945	1.500057336	0.600382361	0
UCEC	4.304408314	0	3.148230692	2.324341812	0.323243531	0
UCS	0.141820056	0	0.332299748	0.307005379	0.12072978	0
UVM	0.126696479	0.205689565	1.28234827	0.57731677	0	0
