Type	Age	Gender	Race	Tumor stage	Radiation	Smoking
ACC	1.54635442	0.039986113	1.522609163	2.496859367	0.453921697	0
BLCA	0.407468342	1.238107155	0.595029067	0.042445751	0.066074187	2.661761506
BRCA	3.655016234	0.033093454	0.396135072	1.785609233	0.018843826	0
CESC	3.394873106	0	0.62627959	0.184718941	0.207708733	0.499577156
CHOL	0.072211974	0.282165572	0.440748331	1.549554913	0	0
COAD	0.733767173	1.145600762	0.729836587	0.917135951	0.214445677	0
DLBC	0.49314839	0.293352036	1.129129845	0.1345109	0.787906551	0
ESCA	0.793209923	0.050390398	0.367281019	0.42444865	0.205096844	0.389047052
GBM	4.598806673	0.281731128	0.535529183	0	0.314801015	0
HNSC	4.33159437	0.304771374	0.582039215	0.647394332	0.001766383	5.514839599
KICH	1.454362291	0.059311538	0.869371835	0.973437375	0	0.353450319
KIRC	2.183164542	0.35980408	2.861214146	0.91841435	1.653708004	0.017179604
KIRP	8.857115703	2.51838749	0.399956175	0.271077062	0.038166634	0.225609261
LAML	0.599439839	0.002025122	0.405276302	0	0	0
LGG	7.360959351	0.233894947	1.756607984	0	1.431789325	0
LIHC	4.146224039	0.688313844	0.895527542	0.033885747	0.044942371	0
LUAD	2.963989668	0.333564424	0.188674172	0.073024477	0.385709072	7.330182574
LUSC	1.461828678	0.16018624	0.101935646	0.595023611	1.206783045	0.024591473
MESO	2.009987002	0.185609841	0.286798472	0.385077909	0.662246809	0
OV	0.075218848	0	0.169729671	0.994036539	0.380317821	0
PAAD	0.125267061	1.739607482	0.586566064	0.27835302	0.184943442	0.029693038
PCPG	1.532596098	0.174616731	0.16208843	0	0.081216464	0
PRAD	6.369281817	0	1.371976501	0	0.17585784	0
READ	0.081359217	0.031881748	0.023707197	0.540805184	0.199697411	0
SARC	0.338668381	0.216707164	0.371277251	0	0.434418825	0
SKCM	3.29464246	2.681905109	1.887114093	0.890422842	0.514686986	0
STAD	7.312633683	1.839474942	0.086001363	0.66279771	0.887377439	0
TGCT	0.998709581	0	0.242195857	0.049143466	0.772381278	0
THCA	6.599073408	1.151791269	0.440737488	4.060696421	0.802983164	0
THYM	0.983973924	0.352736206	0.769785673	1.292279027	0.981247811	0
UCEC	0.491969324	0	0.213408017	0.871410853	2.361073015	0
UCS	0.014862677	0	0.461572851	0.188457645	0.273508565	0
UVM	0.271291312	0.121906862	0.193792761	0.133321819	0	0
