Type	Age	Gender	Race	Tumor stage	Radiation	Smoking
ACC	0.927108447	0.075373832	0.866479104	3.556640684	2.293071691	0
BLCA	1.15461911	1.591144961	3.050001596	0.530511797	0.002166889	1.841539764
BRCA	0.141083994	0.130028333	0.366374652	2.596536811	0.011540828	0
CESC	0.24423935	0	0.349671301	0.089286532	0.488071755	0.134007533
CHOL	0.002945736	0.228451853	0.68866442	2.201196409	0	0
COAD	0.262798623	0.861839437	0.265117657	0.213057076	0.373257556	0
DLBC	0.170856706	0.206020706	1.585787318	0.314551219	0.873482038	0
ESCA	0.437376823	0.186730254	0.343512782	0.047061515	0.010006942	0.989052609
GBM	4.860398706	0.248175853	1.357191212	0	0.261888475	0
HNSC	2.330645543	0.739129564	0.677798375	0.972015885	0.084760517	4.313031783
KICH	0.157275107	0.720177773	0.484987873	3.884121852	0	0.821083467
KIRC	0.251284631	0.75099825	5.094390812	0.752892548	1.611432046	0.009772352
KIRP	0.374971902	0.172165996	0.192947998	0.156286849	0.109201802	0.454847159
LAML	0.181437903	0.270664557	0.544684172	0	0	0
LGG	11.1049316	1.268803626	0.977921823	0	7.416463242	0
LIHC	0.904896939	0.021851251	1.552592296	0.003551652	0.05474355	0
LUAD	0.502693869	0.725225487	0.100742155	0.157348706	0.448527448	11.64821333
LUSC	0.022091764	0.324852344	0.140970937	0.09931428	0.821899571	0.017375799
MESO	0.101400729	0.198510239	0.029944331	0.190758063	0.13191796	0
OV	0.129789325	0	0.463532371	0.680124168	0.400246365	0
PAAD	0.122699538	0.161740041	0.288640718	0.470395593	0.338127856	0.435223059
PCPG	4.840523439	0.26807884	0.472667994	0	0.26569425	0
PRAD	2.115204404	0	0.435652647	0	0.445570983	0
READ	0.455848534	0.044157134	0.023126545	0.290837465	0.091331358	0
SARC	1.670432866	0.373212219	3.539009764	0	1.867013098	0
SKCM	0.179059151	3.689049734	4.886285776	2.078047628	0.823399778	0
STAD	5.362625806	1.613255593	0.098836136	0.200546171	0.163354419	0
TGCT	0.531890185	0	0.063715615	0.079059227	0.680309544	0
THCA	3.266762356	0.257853661	0.013477731	2.81871973	0.669475892	0
THYM	2.853263893	0.20409844	0.240890986	2.965908084	1.97883933	0
UCEC	0.311048309	0	0.308323947	0.134716644	1.804276012	0
UCS	0.385536254	0	2.132997752	0.034409483	0.747954793	0
UVM	0.602098888	0.388862478	0.062231397	0.020373429	0	0
